808000:	18      	CLC 
818B9D:	9002    	BCC $8BA1
818B9F:	A900    	LDA #$00
818BA1:	9D0B00  	STA $000B,x
818BA4:	60      	RTS

#########TAISEN##########
819147:	ADD906  	LDA $06D9
81914A:	C902    	CMP #$02
81914C:	9003    	BCC $9151
81914E:	4CD292  	JMP $92D2
819151:	8B      	PHB 
819152:	A980    	LDA #$80
819154:	8D0021  	STA $2100
819157:	A26A93  	LDX #$936A
81915A:	22318200	JSR $008231	write PPU
81915E:	226A8200	JSR $00826A	init oam
819162:	20D392  	JSR $92D3	dma bg1+bg2 set
819165:	206693  	JSR $9366	dma obj
819168:	20AC93  	JSR $93AC	write bg1 map buffer
81916B:	20B294  	JSR $94B2	dma bg1 map
81916E:	200B96  	JSR $960B  dma bg2map
819171:	A24694  	LDX #$9446
819174:	22928200	JSR $008292	write color
819178:	202DA1  	JSR $A12D	init ram
81917B:	20A695  	JSR $95A6	dma bg1 map
81917E:	20CE95  	JSR $95CE
819181:	A90A    	LDA #$0A
819183:	20689D  	JSR $9D68
819186:	A90A    	LDA #$0A
819188:	20F79D  	JSR $9DF7
81918B:	223D8100	JSR $00813D
81918F:	209DA0  	JSR $A09D
819192:	A9F6    	LDA #$F6
819194:	22B88382	JSR $8283B8
819198:	A94C    	LDA #$4C
81919A:	227B8382	JSR $82837B
81919E:	A903    	LDA #$03
8191A0:	22648382	JSR $828364
8191A4:	A900    	LDA #$00
8191A6:	8D0021  	STA $2100
8191A9:	9CF00F  	STZ $0FF0
8191AC:	9CF10F  	STZ $0FF1
8191AF:	9CB907  	STZ $07B9
8191B2:	9C4100  	STZ $0041
8191B5:	22098382	JSR $828309
8191B9:	AD4100  	LDA $0041
8191BC:	F0F7    	BEQ $91B5
8191BE:	20A695  	JSR $95A6	dma bg1 map
8191C1:	2001A1  	JSR $A101
8191C4:	20E888  	JSR $88E8
8191C7:	CEF00F  	DEC $0FF0
8191CA:	1014    	BPL $91E0
8191CC:	A901    	LDA #$01
8191CE:	8DF00F  	STA $0FF0
8191D1:	ADF10F  	LDA $0FF1
8191D4:	1A      	INC A
8191D5:	C910    	CMP #$10
8191D7:	F00C    	BEQ $91E5
8191D9:	8DF10F  	STA $0FF1
8191DC:	8F002100	STA $002100
8191E0:	9C4100  	STZ $0041
8191E3:	80D0    	BRA $91B5
8191E5:	A2999A  	LDX #$9A99
8191E8:	8E8010  	STX $1080
8191EB:	9C8210  	STZ $1082
8191EE:	ADD906  	LDA $06D9
8191F1:	F009    	BEQ $91FC
8191F3:	A20B9C  	LDX #$9C0B
8191F6:	8EA010  	STX $10A0
8191F9:	9CA210  	STZ $10A2
8191FC:	9C4100  	STZ $0041
8191FF:	22098382	JSR $828309
819203:	AD4100  	LDA $0041
819206:	F0F7    	BEQ $91FF
819208:	20A695  	JSR $95A6
81920B:	2001A1  	JSR $A101
81920E:	20E888  	JSR $88E8
819211:	229D8482	JSR $82849D
819215:	204DA1  	JSR $A14D
819218:	ADB907  	LDA $07B9
81921B:	D029    	BNE $9246
81921D:	AD4210  	LDA $1042
819220:	C905    	CMP #$05
819222:	D007    	BNE $922B
819224:	AD6210  	LDA $1062
819227:	C905    	CMP #$05
819229:	F005    	BEQ $9230
81922B:	9C4100  	STZ $0041
81922E:	80CF    	BRA $91FF
819230:	A9F6    	LDA #$F6
819232:	22B88382	JSR $8283B8
819236:	A902    	LDA #$02
819238:	22B88382	JSR $8283B8
81923C:	A901    	LDA #$01
81923E:	8DF00F  	STA $0FF0
819241:	9C4100  	STZ $0041
819244:	8012    	BRA $9258
819246:	A901    	LDA #$01
819248:	8DF00F  	STA $0FF0
81924B:	A90F    	LDA #$0F
81924D:	8DF10F  	STA $0FF1
819250:	8D0021  	STA $2100
819253:	9C4100  	STZ $0041
819256:	802B    	BRA $9283
819258:	AD4100  	LDA $0041
81925B:	F0FB    	BEQ $9258
81925D:	20A695  	JSR $95A6
819260:	2001A1  	JSR $A101
819263:	20E888  	JSR $88E8
819266:	CEF00F  	DEC $0FF0
819269:	3005    	BMI $9270
81926B:	9C4100  	STZ $0041
81926E:	80E8    	BRA $9258
819270:	209C9E  	JSR $9E9C
819273:	A9A0    	LDA #$A0
819275:	8DF00F  	STA $0FF0
819278:	A90F    	LDA #$0F
81927A:	8DF10F  	STA $0FF1
81927D:	8D0021  	STA $2100
819280:	9C4100  	STZ $0041
819283:	AD4100  	LDA $0041
819286:	F0FB    	BEQ $9283
819288:	20A695  	JSR $95A6
81928B:	2001A1  	JSR $A101
81928E:	20E888  	JSR $88E8
819291:	CEF00F  	DEC $0FF0
819294:	D019    	BNE $92AF
819296:	ADB907  	LDA $07B9
819299:	D004    	BNE $929F
81929B:	A902    	LDA #$02
81929D:	8002    	BRA $92A1
81929F:	A901    	LDA #$01
8192A1:	8DF00F  	STA $0FF0
8192A4:	CEF10F  	DEC $0FF1
8192A7:	300B    	BMI $92B4
8192A9:	ADF10F  	LDA $0FF1
8192AC:	8D0021  	STA $2100
8192AF:	9C4100  	STZ $0041
8192B2:	80CF    	BRA $9283
8192B4:	A9F6    	LDA #$F6
8192B6:	22B88382	JSR $8283B8
8192BA:	9C4D00  	STZ $004D
8192BD:	9C4100  	STZ $0041
8192C0:	AD4100  	LDA $0041
8192C3:	F0FB    	BEQ $92C0
8192C5:	A980    	LDA #$80
8192C7:	8D0021  	STA $2100
8192CA:	9C4100  	STZ $0041
8192CD:	AB      	PLB 
8192CE:	ADB907  	LDA $07B9
8192D1:	4A      	LSR A
8192D2:	6B      	RTL

#####DMA TAISEN BG1, BG2 SET###########
8192D3:	A259D8  	LDX #$D859
8192D6:	A00080  	LDY #$8000
8192D9:	8EDD06  	STX $06DD
8192DC:	8CE006  	STY $06E0
8192DF:	A906    	LDA #$06
8192E1:	8DDF06  	STA $06DF
8192E4:	A97E    	LDA #$7E
8192E6:	8DE206  	STA $06E2
8192E9:	22F68182	JSR $8281F6
8192ED:	A2A989  	LDX #$89A9
8192F0:	A000C0  	LDY #$C000
8192F3:	8EDD06  	STX $06DD
8192F6:	8CE006  	STY $06E0
8192F9:	A905    	LDA #$05
8192FB:	8DDF06  	STA $06DF
8192FE:	A97E    	LDA #$7E
819300:	8DE206  	STA $06E2
819303:	22F68182	JSR $8281F6
819307:	F40043  	PEA $4300
81930A:	2B      	PLD 
81930B:	A980    	LDA #$80
81930D:	8D1521  	STA $2115
819310:	A20118  	LDX #$1801
819313:	8670    	STX $70
819315:	A20080  	LDX #$8000
819318:	A97E    	LDA #$7E
81931A:	8672    	STX $72
81931C:	8574    	STA $74
81931E:	A20000  	LDX #$0000
819321:	8E1621  	STX $2116
819324:	A20060  	LDX #$6000
819327:	8675    	STX $75
819329:	A980    	LDA #$80
81932B:	8D0B42  	STA $420B
81932E:	A228EF  	LDX #$EF28
819331:	A00080  	LDY #$8000
819334:	A905    	LDA #$05
819336:	8EDD06  	STX $06DD
819339:	8CE006  	STY $06E0
81933C:	8DDF06  	STA $06DF
81933F:	A97E    	LDA #$7E
819341:	8DE206  	STA $06E2
819344:	22F68182	JSR $8281F6
819348:	F40043  	PEA $4300
81934B:	2B      	PLD 
81934C:	A20080  	LDX #$8000
81934F:	A97E    	LDA #$7E
819351:	8672    	STX $72
819353:	8574    	STA $74
819355:	A20040  	LDX #$4000
819358:	8E1621  	STX $2116
81935B:	A20008  	LDX #$0800
81935E:	8675    	STX $75
819360:	A980    	LDA #$80
819362:	8D0B42  	STA $420B
819365:	60      	RTS

######DMA TAISEN OBJ########
819366:	A28AEB  	LDX #$EB8A
819369:	A00080  	LDY #$8000
81936C:	A905    	LDA #$05
81936E:	209993  	JSR $9399
819371:	F40043  	PEA $4300
819374:	2B      	PLD 
819375:	A980    	LDA #$80
819377:	8D1521  	STA $2115
81937A:	A20118  	LDX #$1801
81937D:	8670    	STX $70
81937F:	A20080  	LDX #$8000
819382:	A97E    	LDA #$7E
819384:	8672    	STX $72
819386:	8574    	STA $74
819388:	A20060  	LDX #$6000
81938B:	8E1621  	STX $2116
81938E:	A20008  	LDX #$0800
819391:	8675    	STX $75
819393:	A980    	LDA #$80
819395:	8D0B42  	STA $420B
819398:	60      	RTS

819399:	8EDD06  	STX $06DD
81939C:	8CE006  	STY $06E0
81939F:	8DDF06  	STA $06DF
8193A2:	A97E    	LDA #$7E
8193A4:	8DE206  	STA $06E2
8193A7:	22F68182	JSR $8281F6
8193AB:	60      	RTS

######WRITE BG1 MAP BUFFER#########
8193AC:	8B      	PHB 
8193AD:	F47E7E  	PEA $7E7E
8193B0:	AB      	PLB 
8193B1:	AB      	PLB 
8193B2:	A20000  	LDX #$0000
8193B5:	C220    	REP #$20
8193B7:	A92000  	LDA #$0020
8193BA:	9D1020  	STA $2010,x
8193BD:	E8      	INX 
8193BE:	E8      	INX 
8193BF:	E00008  	CPX #$0800
8193C2:	90F6    	BCC $93BA
8193C4:	E220    	SEP #$20
8193C6:	20CB93  	JSR $93CB
8193C9:	AB      	PLB 
8193CA:	60      	RTS

8193CB:	A26894  	LDX #$9468
8193CE:	ADD906  	LDA $06D9
8193D1:	F003    	BEQ $93D6
8193D3:	A28894  	LDX #$9488
8193D6:	8E0000  	STX $0000
8193D9:	A04000  	LDY #$0040
8193DC:	C220    	REP #$20
8193DE:	9C0200  	STZ $0002
8193E1:	A90300  	LDA #$0003
8193E4:	8D0400  	STA $0004
8193E7:	AE0000  	LDX $0000
8193EA:	A92000  	LDA #$0020
8193ED:	8D0600  	STA $0006
8193F0:	4B      	PHK 
8193F1:	AB      	PLB 
8193F2:	BD0000  	LDA $0000,x
8193F5:	29FF00  	AND #$00FF
8193F8:	E8      	INX 
8193F9:	18      	CLC 
8193FA:	6D0200  	ADC $0002
8193FD:	F47E7E  	PEA $7E7E
819400:	AB      	PLB 
819401:	AB      	PLB 
819402:	991020  	STA $2010,Y
819405:	C8      	INY 
819406:	C8      	INY 
819407:	CE0600  	DEC $0006
81940A:	D0E4    	BNE $93F0
81940C:	AD0200  	LDA $0002
81940F:	18      	CLC 
819410:	691000  	ADC #$0010
819413:	8D0200  	STA $0002
819416:	CE0400  	DEC $0004
819419:	D0CC    	BNE $93E7
81941B:	E220    	SEP #$20
81941D:	ADD906  	LDA $06D9
819420:	D045    	BNE $9467
819422:	C220    	REP #$20
819424:	ADDA06  	LDA $06DA
819427:	29FF00  	AND #$00FF
81942A:	1A      	INC A
81942B:	AA      	TAX 
81942C:	4B      	PHK 
81942D:	AB      	PLB 
81942E:	BDA894  	LDA $94A8,x
819431:	29FF00  	AND #$00FF
819434:	F47E7E  	PEA $7E7E
819437:	A27C20  	LDX #$207C
81943A:	AB      	PLB 
81943B:	AB      	PLB 
81943C:	9D0000  	STA $0000,x
81943F:	1A      	INC A
819440:	9D0200  	STA $0002,x
819443:	1A      	INC A
819444:	9D0400  	STA $0004,x
819447:	18      	CLC 
819448:	691000  	ADC #$0010
81944B:	9D4400  	STA $0044,x
81944E:	3A      	DEC A
81944F:	9D4200  	STA $0042,x
819452:	3A      	DEC A
819453:	9D4000  	STA $0040,x
819456:	18      	CLC 
819457:	691000  	ADC #$0010
81945A:	9D8000  	STA $0080,x
81945D:	1A      	INC A
81945E:	9D8200  	STA $0082,x
819461:	1A      	INC A
819462:	9D8400  	STA $0084,x
819465:	E220    	SEP #$20
819467:	60      	RTS

8194B2:	8B      	PHB 
8194B3:	F47E7E  	PEA $7E7E
8194B6:	AB      	PLB 
8194B7:	AB      	PLB 
8194B8:	A02000  	LDY #$0020
8194BB:	ADD906  	LDA $06D9
8194BE:	D01B    	BNE $94DB
8194C0:	A29204  	LDX #$0492
8194C3:	A905    	LDA #$05
8194C5:	20EE94  	JSR $94EE
8194C8:	A0F000  	LDY #$00F0
8194CB:	A901    	LDA #$01
8194CD:	20EE94  	JSR $94EE
8194D0:	A26E95  	LDX #$956E
8194D3:	A09204  	LDY #$0492
8194D6:	201495  	JSR $9514
8194D9:	8011    	BRA $94EC
8194DB:	A29203  	LDX #$0392
8194DE:	A90E    	LDA #$0E
8194E0:	20EE94  	JSR $94EE
8194E3:	A27F95  	LDX #$957F
8194E6:	A09203  	LDY #$0392
8194E9:	201495  	JSR $9514
8194EC:	AB      	PLB 
8194ED:	60      	RTS

8194EE:	8D0000  	STA $0000
8194F1:	A90E    	LDA #$0E
8194F3:	8D0100  	STA $0001
8194F6:	98      	TYA 
8194F7:	9D1020  	STA $2010,x
8194FA:	E8      	INX 
8194FB:	E8      	INX 
8194FC:	C8      	INY 
8194FD:	CE0100  	DEC $0001
819500:	D0F4    	BNE $94F6
819502:	C220    	REP #$20
819504:	8A      	TXA 
819505:	18      	CLC 
819506:	692400  	ADC #$0024
819509:	AA      	TAX 
81950A:	E220    	SEP #$20
81950C:	C8      	INY 
81950D:	C8      	INY 
81950E:	CE0000  	DEC $0000
819511:	D0DE    	BNE $94F1
819513:	60      	RTS

819514:	4B      	PHK 
819515:	AB      	PLB 
819516:	BD0000  	LDA $0000,x
819519:	E8      	INX 
81951A:	C9FF    	CMP #$FF
81951C:	F04F    	BEQ $956D
81951E:	C9FE    	CMP #$FE
819520:	D016    	BNE $9538
819522:	BD0000  	LDA $0000,x
819525:	E8      	INX 
819526:	C220    	REP #$20
819528:	29FF00  	AND #$00FF
81952B:	8D0200  	STA $0002
81952E:	98      	TYA 
81952F:	18      	CLC 
819530:	6D0200  	ADC $0002
819533:	A8      	TAY 
819534:	E220    	SEP #$20
819536:	80DE    	BRA $9516
819538:	EB      	XBA 
819539:	BD0000  	LDA $0000,x
81953C:	E8      	INX 
81953D:	8D0200  	STA $0002
819540:	F47E7E  	PEA $7E7E
819543:	AB      	PLB 
819544:	AB      	PLB 
819545:	EB      	XBA 
819546:	C900    	CMP #$00
819548:	3015    	BMI $955F
81954A:	991120  	STA $2011,Y
81954D:	995120  	STA $2051,Y
819550:	999120  	STA $2091,Y
819553:	99D120  	STA $20D1,Y
819556:	C8      	INY 
819557:	C8      	INY 
819558:	CE0200  	DEC $0002
81955B:	D0ED    	BNE $954A
81955D:	80B5    	BRA $9514
81955F:	297F    	AND #$7F
819561:	991120  	STA $2011,Y
819564:	C8      	INY 
819565:	C8      	INY 
819566:	CE0200  	DEC $0002
819569:	D0F6    	BNE $9561
81956B:	80A7    	BRA $9514
81956D:	60      	RTS

########DMA TAISEN BG1 MAP########
8195A6:	F40043  	PEA $4300
8195A9:	2B      	PLD 
8195AA:	A980    	LDA #$80
8195AC:	8D1521  	STA $2115
8195AF:	A20118  	LDX #$1801
8195B2:	8670    	STX $70
8195B4:	A20034  	LDX #$3400
8195B7:	8E1621  	STX $2116
8195BA:	A21020  	LDX #$2010
8195BD:	A97E    	LDA #$7E
8195BF:	8672    	STX $72
8195C1:	8574    	STA $74
8195C3:	A24007  	LDX #$0740
8195C6:	8675    	STX $75
8195C8:	A980    	LDA #$80
8195CA:	8D0B42  	STA $420B
8195CD:	60      	RTS

8195CE:	C220    	REP #$20
8195D0:	A20010  	LDX #$1000
8195D3:	A00110  	LDY #$1001
8195D6:	9C0010  	STZ $1000
8195D9:	A9FE07  	LDA #$07FE
8195DC:	540000  	MVN $00,$00
8195DF:	E220    	SEP #$20
8195E1:	A2B996  	LDX #$96B9
8195E4:	8E0010  	STX $1000
8195E7:	9C0210  	STZ $1002
8195EA:	A2E297  	LDX #$97E2
8195ED:	8E4010  	STX $1040
8195F0:	9C4210  	STZ $1042
8195F3:	ADD906  	LDA $06D9
8195F6:	F012    	BEQ $960A
8195F8:	A25697  	LDX #$9756
8195FB:	8E2010  	STX $1020
8195FE:	9C2210  	STZ $1022
819601:	A2DB99  	LDX #$99DB
819604:	8E6010  	STX $1060
819607:	9C6210  	STZ $1062
81960A:	60      	RTS

#######DMA TAISEN BG2 MAP##########
81960B:	8B      	PHB 
81960C:	4B      	PHK 
81960D:	AB      	PLB 
81960E:	C220    	REP #$20
819610:	A20000  	LDX #$0000
819613:	A00000  	LDY #$0000
819616:	A90800  	LDA #$0008
819619:	8D0000  	STA $0000
81961C:	A90400  	LDA #$0004
81961F:	8D0200  	STA $0002
819622:	A90800  	LDA #$0008
819625:	8D0400  	STA $0004
819628:	BD7C96  	LDA $967C,x
81962B:	29FF00  	AND #$00FF
81962E:	090010  	ORA #$1000
819631:	990008  	STA $0800,Y
819634:	C8      	INY 
819635:	C8      	INY 
819636:	1A      	INC A
819637:	CE0400  	DEC $0004
81963A:	D0F5    	BNE $9631
81963C:	CE0200  	DEC $0002
81963F:	D0E1    	BNE $9622
819641:	E8      	INX 
819642:	CE0000  	DEC $0000
819645:	D0D5    	BNE $961C
819647:	A20008  	LDX #$0800
81964A:	A0000A  	LDY #$0A00
81964D:	A9FF05  	LDA #$05FF
819650:	540000  	MVN $00,$00
819653:	E220    	SEP #$20
819655:	F40043  	PEA $4300
819658:	2B      	PLD 
819659:	A980    	LDA #$80
81965B:	8D1521  	STA $2115
81965E:	A20118  	LDX #$1801
819661:	8670    	STX $70
819663:	A20038  	LDX #$3800
819666:	8E1621  	STX $2116
819669:	A20008  	LDX #$0800
81966C:	8672    	STX $72
81966E:	6474    	STZ $74
819670:	A20008  	LDX #$0800
819673:	8675    	STX $75
819675:	A980    	LDA #$80
819677:	8D0B42  	STA $420B
81967A:	AB      	PLB 
81967B:	60      	RTS

819684:	8D0000  	STA $0000
819687:	DA      	PHX 
819688:	C900    	CMP #$00
81968A:	D006    	BNE $9692
81968C:	AF52347E	LDA $7E3452
819690:	8004    	BRA $9696
819692:	AF293B7E	LDA $7E3B29
819696:	C220    	REP #$20
819698:	29FF00  	AND #$00FF
81969B:	AA      	TAX 
81969C:	E220    	SEP #$20
81969E:	8B      	PHB 
81969F:	4B      	PHK 
8196A0:	AB      	PLB 
8196A1:	BDAF96  	LDA $96AF,x
8196A4:	AB      	PLB 
8196A5:	FA      	PLX 
8196A6:	18      	CLC 
8196A7:	6D0000  	ADC $0000
8196AA:	22CB8382	JSR $8283CB
8196AE:	60      	RTS

8196B9:	A900    	LDA #$00
8196BB:	EB      	XBA 
8196BC:	BD0200  	LDA $0002,x
8196BF:	0A      	ASL
8196C0:	AA      	TAX 
8196C1:	7CC496  	JMP ($96C4,x)
8196C4:
	dw $96CC, $970B, $973A, $973E
	
8196CC:	AE0007  	LDX $0700
8196CF:	9E0500  	STZ $0005,x
8196D2:	C220    	REP #$20
8196D4:	A90018  	LDA #$1800
8196D7:	9D0300  	STA $0003,x
8196DA:	A90001  	LDA #$0100
8196DD:	9D0700  	STA $0007,x
8196E0:	A90004  	LDA #$0400
8196E3:	9D0900  	STA $0009,x
8196E6:	A90005  	LDA #$0500
8196E9:	9D0B00  	STA $000B,x
8196EC:	A90600  	LDA #$0006
8196EF:	9D0D00  	STA $000D,x
8196F2:	A90000  	LDA #$0000
8196F5:	9D1000  	STA $0010,x
8196F8:	A9E896  	LDA #$96E8
8196FB:	9D1200  	STA $0012,x
8196FE:	A9F499  	LDA #$99F4
819701:	9D1400  	STA $0014,x
819704:	E220    	SEP #$20
819706:	A901    	LDA #$01
819708:	9D0200  	STA $0002,x

81970B:	AE0007  	LDX $0700
81970E:	ADD906  	LDA $06D9
819711:	D00F    	BNE $9722
819713:	BD0300  	LDA $0003,x
819716:	18      	CLC 
819717:	6908    	ADC #$08
819719:	C9AC    	CMP #$AC
81971B:	B014    	BCS $9731
81971D:	9D0300  	STA $0003,x
819720:	8014    	BRA $9736
819722:	BD0300  	LDA $0003,x
819725:	18      	CLC 
819726:	6904    	ADC #$04
819728:	C96C    	CMP #$6C
81972A:	B005    	BCS $9731
81972C:	9D0300  	STA $0003,x
81972F:	8005    	BRA $9736
819731:	A902    	LDA #$02
819733:	9D0200  	STA $0002,x
819736:	20538B  	JSR $8B53
819739:	60      	RTS
 
81973A:	20538B  	JSR $8B53
81973D:	60      	RTS

81973E:	20538B  	JSR $8B53
819741:	BD0300  	LDA $0003,x
819744:	38      	SEC 
819745:	E904    	SBC #$04
819747:	C968    	CMP #$68
819749:	9005    	BCC $9750
81974B:	9D0300  	STA $0003,x
81974E:	8005    	BRA $9755
819750:	A902    	LDA #$02
819752:	9D0200  	STA $0002,x
819755:	60      	RTS

819756:	A900    	LDA #$00
819758:	EB      	XBA 
819759:	BD0200  	LDA $0002,x
81975C:	0A      	ASL
81975D:	AA      	TAX 
81975E:	7C6197  	JMP ($9761,x)
819761:
	dw $9767, $97C3, $97DE
	
819767:	AE0007  	LDX $0700
81976A:	9E0500  	STZ $0005,x
81976D:	C220    	REP #$20
81976F:	A9FF18  	LDA #$18FF
819772:	9D0300  	STA $0003,x
819775:	A90001  	LDA #$0100
819778:	9D0700  	STA $0007,x
81977B:	A90004  	LDA #$0400
81977E:	9D0900  	STA $0009,x
819781:	A90005  	LDA #$0500
819784:	9D0B00  	STA $000B,x
819787:	A90501  	LDA #$0105
81978A:	9D0D00  	STA $000D,x
81978D:	A91800  	LDA #$0018
819790:	9D1000  	STA $0010,x
819793:	ADD906  	LDA $06D9
819796:	29FF00  	AND #$00FF
819799:	D015    	BNE $97B0
81979B:	E220    	SEP #$20
81979D:	AD0910  	LDA $1009
8197A0:	9D0900  	STA $0009,x
8197A3:	AD0B10  	LDA $100B
8197A6:	9D0B00  	STA $000B,x
8197A9:	C220    	REP #$20
8197AB:	A9EE96  	LDA #$96EE
8197AE:	8003    	BRA $97B3

8197B0:	A9EB96  	LDA #$96EB
8197B3:	9D1200  	STA $0012,x
8197B6:	A9F499  	LDA #$99F4
8197B9:	9D1400  	STA $0014,x
8197BC:	E220    	SEP #$20
8197BE:	A901    	LDA #$01
8197C0:	9D0200  	STA $0002,x
8197C3:	AE0007  	LDX $0700
8197C6:	BD0300  	LDA $0003,x
8197C9:	38      	SEC 
8197CA:	E904    	SBC #$04
8197CC:	C997    	CMP #$97
8197CE:	9005    	BCC $97D5
8197D0:	9D0300  	STA $0003,x
8197D3:	8005    	BRA $97DA
8197D5:	A902    	LDA #$02
8197D7:	9D0200  	STA $0002,x
8197DA:	20538B  	JSR $8B53
8197DD:	60      	RTS
 
8197DE:	20538B  	JSR $8B53
8197E1:	60      	RTS

8197E2:	A900    	LDA #$00
8197E4:	EB      	XBA 
8197E5:	BD0200  	LDA $0002,x
8197E8:	0A      	ASL
8197E9:	AA      	TAX 
8197EA:	7CED97  	JMP ($97ED,x)
8197ED:
	dw $97FF, $982C, $9858, $9859, $988A, $98DF, $98E0, $98FE, $9913
	
8197FF:	AE0007  	LDX $0700
819802:	9E0500  	STZ $0005,x
819805:	C220    	REP #$20
819807:	A90017  	LDA #$1700
81980A:	9D0300  	STA $0003,x
81980D:	A90001  	LDA #$0100

819810:	9D0700  	STA $0007,x
819813:	A91E00  	LDA #$001E
819816:	9D0D00  	STA $000D,x
819819:	A92C00  	LDA #$002C
81981C:	9D1000  	STA $0010,x
81981F:	A94197  	LDA #$9741
819822:	9D1200  	STA $0012,x
819825:	E220    	SEP #$20
819827:	A901    	LDA #$01
819829:	9D0200  	STA $0002,x

81982C:	AE0007  	LDX $0700
81982F:	ADD906  	LDA $06D9
819832:	D00F    	BNE $9843
819834:	BD0300  	LDA $0003,x
819837:	18      	CLC 
819838:	6908    	ADC #$08
81983A:	C9AC    	CMP #$AC
81983C:	B014    	BCS $9852
81983E:	9D0300  	STA $0003,x
819841:	8014    	BRA $9857
819843:	BD0300  	LDA $0003,x
819846:	18      	CLC 
819847:	6904    	ADC #$04
819849:	C96C    	CMP #$6C
81984B:	B005    	BCS $9852
81984D:	9D0300  	STA $0003,x
819850:	8005    	BRA $9857
819852:	A902    	LDA #$02
819854:	9D0200  	STA $0002,x
819857:	60      	RTS
 
819858:	60      	RTS
 
819859:	AE0007  	LDX $0700
81985C:	AC5600  	LDY $0056
81985F:	C00007  	CPY #$0700
819862:	F025    	BEQ $9889
819864:	C220    	REP #$20
819866:	A90002  	LDA #$0200
819869:	9D0900  	STA $0009,x
81986C:	A90009  	LDA #$0900
81986F:	9D0B00  	STA $000B,x
819872:	A9FE99  	LDA #$99FE
819875:	9D1400  	STA $0014,x
819878:	E220    	SEP #$20
81987A:	9E0500  	STZ $0005,x
81987D:	AF52347E	LDA $7E3452
819881:	20689D  	JSR $9D68
819884:	A904    	LDA #$04
819886:	9D0200  	STA $0002,x
819889:	60      	RTS
 
81988A:	AE0007  	LDX $0700
81988D:	20538B  	JSR $8B53
819890:	BD0B00  	LDA $000B,x
819893:	C908    	CMP #$08
819895:	9047    	BCC $98DE
819897:	ADD906  	LDA $06D9
81989A:	D03D    	BNE $98D9
81989C:	A903    	LDA #$03
81989E:	8D0210  	STA $1002
8198A1:	A05697  	LDY #$9756
8198A4:	8C2010  	STY $1020
8198A7:	9C2210  	STZ $1022
8198AA:	A00000  	LDY #$0000
8198AD:	8C8010  	STY $1080
8198B0:	C220    	REP #$20
8198B2:	A01C01  	LDY #$011C
8198B5:	A900F0  	LDA #$F000
8198B8:	998E02  	STA $028E,Y
8198BB:	C8      	INY 
8198BC:	C8      	INY 
8198BD:	C8      	INY 
8198BE:	C8      	INY 
8198BF:	C07401  	CPY #$0174
8198C2:	90F4    	BCC $98B8
8198C4:	E220    	SEP #$20
8198C6:	204B99  	JSR $994B
8198C9:	A0DB99  	LDY #$99DB
8198CC:	8C6010  	STY $1060
8198CF:	9C6210  	STZ $1062
8198D2:	A906    	LDA #$06
8198D4:	9D0200  	STA $0002,x
8198D7:	8005    	BRA $98DE
8198D9:	A905    	LDA #$05
8198DB:	9D0200  	STA $0002,x
8198DE:	60      	RTS
 
8198DF:	60      	RTS
 
8198E0:	AE0007  	LDX $0700
8198E3:	207B99  	JSR $997B
8198E6:	BD0300  	LDA $0003,x
8198E9:	38      	SEC 
8198EA:	E904    	SBC #$04
8198EC:	C968    	CMP #$68
8198EE:	9005    	BCC $98F5
8198F0:	9D0300  	STA $0003,x
8198F3:	8008    	BRA $98FD
8198F5:	209699  	JSR $9996
8198F8:	A907    	LDA #$07
8198FA:	9D0200  	STA $0002,x
8198FD:	60      	RTS
 
8198FE:	AE0007  	LDX $0700
819901:	AD6210  	LDA $1062
819904:	C902    	CMP #$02
819906:	D00A    	BNE $9912
819908:	A910    	LDA #$10
81990A:	8DF00F  	STA $0FF0
81990D:	A908    	LDA #$08
81990F:	9D0200  	STA $0002,x
819912:	60      	RTS
 
819913:	AE0007  	LDX $0700
819916:	ADF00F  	LDA $0FF0
819919:	3010    	BMI $992B
81991B:	3A      	DEC A
81991C:	8DF00F  	STA $0FF0
81991F:	1029    	BPL $994A
819921:	A901    	LDA #$01
819923:	8DF10F  	STA $0FF1
819926:	20E59E  	JSR $9EE5
819929:	801F    	BRA $994A
81992B:	AD2200  	LDA $0022
81992E:	2980    	AND #$80
819930:	8D0000  	STA $0000
819933:	AD2300  	LDA $0023
819936:	2910    	AND #$10
819938:	0D0000  	ORA $0000
81993B:	D005    	BNE $9942
81993D:	CEF10F  	DEC $0FF1
819940:	D008    	BNE $994A
819942:	A905    	LDA #$05
819944:	8D6210  	STA $1062
819947:	9D0200  	STA $0002,x
81994A:	60      	RTS
 
81994B:	C220    	REP #$20
81994D:	8B      	PHB 
81994E:	4B      	PHK 
81994F:	AB      	PLB 
819950:	A00000  	LDY #$0000
819953:	B9CE99  	LDA $99CE,Y
819956:	99E00F  	STA $0FE0,Y
819959:	C8      	INY 
81995A:	C8      	INY 
81995B:	C00D00  	CPY #$000D
81995E:	90F3    	BCC $9953
819960:	A90043  	LDA #$4300
819963:	5B      	TCD 
819964:	E220    	SEP #$20
819966:	A0020E  	LDY #$0E02
819969:	8420    	STY $20
81996B:	A0E00F  	LDY #$0FE0
81996E:	8422    	STY $22
819970:	6424    	STZ $24
819972:	6427    	STZ $27
819974:	A907    	LDA #$07
819976:	8D4D00  	STA $004D
819979:	AB      	PLB 
81997A:	60      	RTS
 
